"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V428","2","F","0.1914","0.737","21.25","1","59",NA
"V429","3","I","0.01","0.601","27.97","1","41",NA
"V430","2","F","0.4653","0.737","22.03","1","46",NA
"V431","4","I","0.01","0.756","24.4","1","16",NA
"V432","2","F","0.4323","0.737","23.21","1","46",NA
"V433","4","F","0.3201","0.78","24.95",NA,NA,NA
"V434","4","I","0.01","0.756","23.92","1","12",NA
"V435","1","F","0.4785","0.607","21.17",NA,NA,NA
"V436","2","F","0.2277","0.737","27.56",NA,NA,NA
"V437","4","F","0.3564","0.78","23.23","1","32",NA
"V438","1","I","0.01","0.604","27.1",NA,NA,NA
"V439","4","F","0.3267","0.78","24.16",NA,NA,NA
"V440","2","F","0.1782","0.737","24.41",NA,NA,NA
"V441","2","F","0.2244","0.737","22.31",NA,NA,NA
"V442","1","F","0.3861","0.607","22.57","1","1",NA
"V443","2","F","0.3432","0.737","26.23",NA,NA,NA
"V444","4","I","0.01","0.756","23.64","1","18",NA
"V445","3","I","0.01","0.601","28.71",NA,NA,NA
"V446","1","F","0.3795","0.607","22.8","1","1",NA
"V447","4","F","0.4851","0.78","23.96",NA,NA,NA
"V448","1","F","0.3003","0.607","22.78","1","1",NA
"V449","3","I","0.01","0.601","26.54",NA,NA,NA
"V450","2","F","0.2805","0.737","20.75","1","37",NA
"V451","4","I","0.01","0.756","25.24","1","19",NA
"V452","2","F","0.2013","0.737","23.42","1","63",NA
"V453","2","F","0.2343","0.737","18.52","1","44",NA
"V454","2","I","0.01","0.725","27.45",NA,NA,NA
"V455","4","F","0.1848","0.78","25.24","1","1",NA
"V456","2","F","0.2277","0.737","24.78","1","21","1"
"V457","3","F","0.3696","0.63","21.21","1","40",NA
"V458","2","F","0.4158","0.737","23.07","1","34",NA
"V459","4","F","0.2475","0.78","24.45","1","4",NA
"V460","2","F","0.3201","0.737","22.77","1","11",NA
"V461","3","I","0.01","0.601","22.33","1","75",NA
"V462","1","I","0.01","0.604","25.32",NA,NA,NA
"V463","2","F","0.3531","0.737","23.68","1","2",NA
"V464","2","F","0.2442","0.737","19.11","1","9","1"
"V465","4","I","0.01","0.756","25.14","1","18",NA
"V466","4","F","0.2112","0.78","22.76",NA,NA,NA
"V467","1","I","0.01","0.604","27.38","1","9",NA
"V468","4","F","0.462","0.78","25.3",NA,NA,NA
"V469","2","F","0.2706","0.737","23.14","1","21",NA
"V470","4","F","0.3267","0.78","26.12",NA,NA,NA
"V471","2","F","0.3003","0.737","26.01",NA,NA,NA
"V472","2","F","0.495","0.737","25.97",NA,NA,NA
"V473","1","F","0.231","0.607","23.05","1","48","1"
"V474","4","F","0.2244","0.78","23.34","1","42",NA
"V475","1","F","0.4323","0.607","23.24",NA,NA,NA
"V476","1","F","0.3894","0.607","24.71","1","50","1"
"V477","1","F","0.4653","0.607","22.68","1","66",NA
"V478","2","F","0.1683","0.737","24.76","1","4",NA
"V479","4","I","0.01","0.756","27.39","1","21",NA
"V480","4","F","0.2904","0.78","24.39",NA,NA,NA
"V481","2","F","0.3597","0.737","24.52",NA,NA,NA
"V482","2","I","0.01","0.725","24.32","1","19",NA
"V483","4","F","0.3465","0.78","25.44","1","40",NA
